Datetime,Turbidity,Reading,Value,Unit,Data Quality
2025-05-06 16:25:14,34.02,2025-05-06 16:21:13,79.17,in,A
2025-05-06 16:40:14,34.91,2025-05-06 16:45:54,79.2,in,A
2025-05-06 17:25:15,34.14,2025-05-06 17:29:34,79.23,in,A
2025-05-06 17:40:14,35.07,2025-05-06 17:29:34,79.23,in,A
2025-05-07 07:25:18,34.16,2025-05-07 07:28:54,79.65,in,A
2025-05-07 07:40:18,35.52,2025-05-07 07:42:15,79.66,in,A
2025-05-07 08:10:18,35.68,2025-05-07 08:06:15,79.69,in,A
2025-05-07 08:25:18,36.85,2025-05-07 08:23:31,79.71,in,A
2025-05-07 08:40:17,34.45,2025-05-07 08:39:31,79.74,in,A
2025-05-07 09:10:19,35.83,2025-05-07 09:11:17,79.81,in,A
2025-05-07 09:25:18,35.74,2025-05-07 09:16:56,79.82,in,A
2025-05-07 09:40:17,35.8,2025-05-07 09:54:23,79.82,in,A
2025-05-07 10:40:17,35.65,2025-05-07 10:54:23,79.82,in,A
2025-05-07 11:40:17,36.48,2025-05-07 11:54:23,79.82,in,A
2025-05-07 12:40:18,39.32,2025-05-07 12:54:23,79.82,in,A
2025-05-07 13:40:18,38.04,2025-05-07 13:54:23,79.82,in,A
2025-05-07 14:40:19,37.04,2025-05-07 14:54:23,79.82,in,A
2025-05-07 15:40:19,40.24,2025-05-07 15:54:23,79.82,in,A
2025-05-07 16:40:19,38.21,2025-05-07 16:54:23,79.82,in,A
2025-05-07 17:40:20,39.45,2025-05-07 17:54:23,79.82,in,A
2025-05-08 07:40:23,39.0,2025-05-08 07:54:23,79.83,in,A
2025-05-08 08:40:22,38.78,2025-05-08 08:54:23,79.83,in,A
2025-05-08 09:40:22,38.93,2025-05-08 09:54:23,79.83,in,A
2025-05-08 10:40:23,35.31,2025-05-08 10:54:23,79.83,in,A
2025-05-08 11:40:23,36.84,2025-05-08 11:54:23,79.83,in,A
2025-05-08 12:40:23,36.32,2025-05-08 12:54:23,79.83,in,A
2025-05-08 13:40:24,37.32,2025-05-08 13:54:23,79.83,in,A
2025-05-08 14:40:24,37.56,2025-05-08 14:54:23,79.83,in,A
2025-05-08 15:40:25,36.32,2025-05-08 15:54:23,79.83,in,A
2025-05-08 16:40:25,36.64,2025-05-08 16:54:23,79.83,in,A
2025-05-08 17:40:25,37.37,2025-05-08 17:54:23,79.83,in,A
2025-05-08 17:44:09,37.37,2025-05-08 17:54:23,79.83,in,A
2025-05-09 06:55:28,32.46,2025-05-09 06:54:23,79.95,in,A
2025-05-09 07:40:28,34.33,2025-05-09 07:54:23,79.95,in,A
2025-05-09 07:55:28,33.64,2025-05-09 07:54:23,79.95,in,A
2025-05-09 08:40:28,32.77,2025-05-09 08:54:23,79.95,in,A
2025-05-09 08:55:28,33.11,2025-05-09 08:54:23,79.95,in,A
2025-05-09 09:40:28,32.37,2025-05-09 09:54:23,79.95,in,A
2025-05-09 09:55:28,33.45,2025-05-09 09:54:23,79.95,in,A
2025-05-09 10:10:29,34.18,2025-05-09 10:24:08,79.96,in,A
2025-05-09 10:25:29,33.85,2025-05-09 10:24:08,79.96,in,A
2025-05-09 10:40:29,33.07,2025-05-09 10:44:41,79.97,in,A
2025-05-09 10:55:29,33.14,2025-05-09 10:54:23,79.97,in,A
2025-05-09 11:40:29,33.26,2025-05-09 11:54:23,79.97,in,A
2025-05-09 12:40:29,33.58,2025-05-09 12:54:23,79.97,in,A
2025-05-09 12:55:29,31.94,2025-05-09 12:54:23,79.97,in,A
2025-05-09 13:40:29,34.05,2025-05-09 13:54:23,79.97,in,A
2025-05-09 13:55:29,33.65,2025-05-09 13:54:23,79.97,in,A
2025-05-09 14:40:29,34.4,2025-05-09 14:54:23,79.97,in,A
2025-05-09 14:55:30,33.81,2025-05-09 14:54:23,79.97,in,A
2025-05-09 15:40:30,31.91,2025-05-09 15:54:23,79.97,in,A
2025-05-09 15:55:29,33.39,2025-05-09 15:54:23,79.97,in,A
2025-05-09 16:40:29,32.78,2025-05-09 16:54:23,79.97,in,A
2025-05-09 16:55:29,32.7,2025-05-09 16:54:23,79.97,in,A
2025-05-09 17:40:30,32.96,2025-05-09 17:54:23,79.97,in,A
2025-05-10 06:55:33,30.97,2025-05-10 06:54:23,80.3,in,A
2025-05-10 07:40:33,31.18,2025-05-10 07:54:23,80.3,in,A
2025-05-10 07:55:33,32.56,2025-05-10 07:54:23,80.3,in,A
2025-05-10 08:40:33,32.36,2025-05-10 08:54:23,80.3,in,A
2025-05-10 08:55:33,33.06,2025-05-10 08:54:23,80.3,in,A
2025-05-10 09:40:33,31.82,2025-05-10 09:54:23,80.3,in,A
2025-05-10 09:55:33,33.12,2025-05-10 09:54:23,80.3,in,A
2025-05-10 10:40:33,33.61,2025-05-10 10:54:23,80.3,in,A
2025-05-10 10:55:34,33.67,2025-05-10 10:54:23,80.3,in,A
2025-05-10 11:40:34,33.54,2025-05-10 11:54:23,80.3,in,A
2025-05-10 11:55:33,32.8,2025-05-10 11:54:23,80.3,in,A
2025-05-10 12:40:33,32.98,2025-05-10 12:54:23,80.3,in,A
2025-05-10 12:55:34,32.59,2025-05-10 12:54:23,80.3,in,A
2025-05-10 13:40:33,32.91,2025-05-10 13:54:23,80.3,in,A
2025-05-10 13:55:33,33.03,2025-05-10 13:54:23,80.3,in,A
2025-05-10 14:40:34,34.15,2025-05-10 14:54:23,80.3,in,A
2025-05-10 14:55:33,32.03,2025-05-10 14:54:23,80.3,in,A
