Datetime,Turbidity,RoundedTime,Receive,Value,Unit,Data Quality
2025-05-03 15:21:36,36.21,2025-05-03 15:15:00,,,,
2025-05-03 15:21:53,36.21,2025-05-03 15:15:00,,,,
2025-05-03 15:24:08,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:24:26,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:24:42,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:24:56,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:25:14,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:25:30,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:25:46,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:26:03,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:26:19,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:26:36,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:26:52,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:27:10,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:27:26,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:27:42,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:27:59,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:28:15,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:28:33,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:28:51,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:29:07,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:29:23,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:29:41,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:29:57,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:30:13,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:30:30,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:30:46,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:31:02,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:31:18,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:31:35,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:31:52,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:32:08,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:32:24,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:32:40,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:32:57,38.66,2025-05-03 15:30:00,,,,
2025-05-03 15:39:57,38.66,2025-05-03 15:45:00,,,,
2025-05-03 16:09:57,40.74,2025-05-03 16:15:00,,,,
2025-05-03 16:24:57,38.28,2025-05-03 16:30:00,,,,
2025-05-03 16:39:57,40.22,2025-05-03 16:45:00,,,,
2025-05-03 17:09:57,38.68,2025-05-03 17:15:00,,,,
2025-05-03 17:24:58,39.02,2025-05-03 17:30:00,,,,
2025-05-03 17:39:58,37.89,2025-05-03 17:45:00,,,,
2025-05-04 07:10:05,36.64,2025-05-04 07:15:00,,,,
2025-05-04 07:16:35,36.64,2025-05-04 07:15:00,,,,
2025-05-04 07:17:25,36.64,2025-05-04 07:15:00,,,,
2025-05-04 07:19:15,36.64,2025-05-04 07:15:00,,,,
2025-05-04 07:25:04,43.64,2025-05-04 07:30:00,,,,
2025-05-04 07:33:39,43.64,2025-05-04 07:30:00,,,,
2025-05-04 07:33:57,43.64,2025-05-04 07:30:00,,,,
2025-05-04 07:40:04,41.67,2025-05-04 07:45:00,,,,
2025-05-04 07:44:27,41.67,2025-05-04 07:45:00,,,,
2025-05-04 08:10:04,40.28,2025-05-04 08:15:00,,,,
2025-05-04 08:25:04,40.32,2025-05-04 08:30:00,,,,
2025-05-04 08:31:23,40.32,2025-05-04 08:30:00,,,,
2025-05-04 08:31:49,40.32,2025-05-04 08:30:00,,,,
2025-05-04 08:33:53,40.32,2025-05-04 08:30:00,,,,
2025-05-04 08:34:28,40.32,2025-05-04 08:30:00,,,,
2025-05-04 08:40:05,37.23,2025-05-04 08:45:00,,,,
2025-05-04 08:49:51,37.23,2025-05-04 08:45:00,,,,
2025-05-04 08:51:56,37.23,2025-05-04 08:45:00,,,,
2025-05-04 09:10:04,45.35,2025-05-04 09:15:00,,,,
2025-05-04 09:25:04,46.87,2025-05-04 09:30:00,,,,
2025-05-04 09:40:04,43.25,2025-05-04 09:45:00,,,,
2025-05-04 10:10:04,42.61,2025-05-04 10:15:00,,,,
2025-05-04 10:25:05,40.45,2025-05-04 10:30:00,,,,
2025-05-04 10:40:05,38.99,2025-05-04 10:45:00,,,,
2025-05-04 11:10:05,43.62,2025-05-04 11:15:00,,,,
2025-05-04 11:25:05,44.22,2025-05-04 11:30:00,,,,
2025-05-04 11:40:05,40.37,2025-05-04 11:45:00,,,,
2025-05-04 12:10:05,41.44,2025-05-04 12:15:00,,,,
2025-05-04 12:25:06,40.95,2025-05-04 12:30:00,,,,
2025-05-04 12:40:06,38.03,2025-05-04 12:45:00,,,,
2025-05-04 13:10:06,41.26,2025-05-04 13:15:00,,,,
2025-05-04 13:25:05,38.98,2025-05-04 13:30:00,,,,
2025-05-04 13:40:05,38.42,2025-05-04 13:45:00,,,,
2025-05-04 14:10:05,41.58,2025-05-04 14:15:00,,,,
2025-05-04 14:25:05,49.99,2025-05-04 14:30:00,,,,
2025-05-04 14:34:10,49.99,2025-05-04 14:30:00,,,,
2025-05-04 14:40:05,35.19,2025-05-04 14:45:00,,,,
2025-05-04 15:10:05,39.08,2025-05-04 15:15:00,,,,
2025-05-04 15:25:06,38.01,2025-05-04 15:30:00,,,,
2025-05-04 15:40:05,47.71,2025-05-04 15:45:00,,,,
2025-05-04 16:10:06,43.33,2025-05-04 16:15:00,,,,
2025-05-04 16:25:05,37.46,2025-05-04 16:30:00,,,,
2025-05-04 16:40:05,40.53,2025-05-04 16:45:00,,,,
2025-05-04 17:10:07,39.18,2025-05-04 17:15:00,,,,
2025-05-04 17:25:05,38.06,2025-05-04 17:30:00,,,,
2025-05-04 17:40:06,38.88,2025-05-04 17:45:00,,,,
2025-05-05 07:10:07,37.74,2025-05-05 07:15:00,,,,
2025-05-05 07:25:07,39.82,2025-05-05 07:30:00,,,,
2025-05-05 07:40:07,37.14,2025-05-05 07:45:00,,,,
2025-05-05 08:10:07,37.54,2025-05-05 08:15:00,,,,
2025-05-05 08:25:07,38.27,2025-05-05 08:30:00,,,,
2025-05-05 08:40:07,40.23,2025-05-05 08:45:00,,,,
2025-05-05 09:10:08,39.99,2025-05-05 09:15:00,,,,
2025-05-05 09:25:07,37.18,2025-05-05 09:30:00,,,,
2025-05-05 09:40:07,38.65,2025-05-05 09:45:00,,,,
2025-05-05 10:10:07,39.79,2025-05-05 10:15:00,,,,
2025-05-05 10:25:07,40.13,2025-05-05 10:30:00,,,,
2025-05-05 10:40:08,40.09,2025-05-05 10:45:00,,,,
2025-05-05 11:10:08,37.71,2025-05-05 11:15:00,,,,
2025-05-05 11:25:08,39.38,2025-05-05 11:30:00,,,,
2025-05-05 11:40:08,40.24,2025-05-05 11:45:00,,,,
2025-05-05 12:10:08,40.08,2025-05-05 12:15:00,,,,
2025-05-05 12:25:08,40.68,2025-05-05 12:30:00,,,,
2025-05-05 12:40:08,38.97,2025-05-05 12:45:00,,,,
2025-05-05 13:10:09,40.2,2025-05-05 13:15:00,,,,
2025-05-05 13:25:09,39.36,2025-05-05 13:30:00,,,,
2025-05-05 13:40:09,40.33,2025-05-05 13:45:00,,,,
2025-05-05 14:10:10,40.64,2025-05-05 14:15:00,,,,
2025-05-05 14:25:10,41.26,2025-05-05 14:30:00,,,,
2025-05-05 14:40:10,41.41,2025-05-05 14:45:00,,,,
2025-05-05 15:10:10,41.05,2025-05-05 15:15:00,,,,
2025-05-05 15:25:10,41.65,2025-05-05 15:30:00,,,,
2025-05-05 15:40:10,40.92,2025-05-05 15:45:00,,,,
2025-05-05 16:10:10,40.89,2025-05-05 16:15:00,,,,
2025-05-05 16:25:10,40.59,2025-05-05 16:30:00,,,,
2025-05-05 16:40:10,41.06,2025-05-05 16:45:00,,,,
2025-05-05 17:10:11,39.64,2025-05-05 17:15:00,,,,
2025-05-05 17:25:10,38.16,2025-05-05 17:30:00,,,,
2025-05-05 17:40:10,39.18,2025-05-05 17:45:00,,,,
2025-05-06 07:10:12,36.32,2025-05-06 07:15:00,,,,
2025-05-06 07:25:12,35.98,2025-05-06 07:30:00,,,,
2025-05-06 07:40:12,36.55,2025-05-06 07:45:00,,,,
2025-05-06 08:10:13,36.77,2025-05-06 08:15:00,,,,
2025-05-06 08:25:13,36.23,2025-05-06 08:30:00,,,,
2025-05-06 08:40:13,36.48,2025-05-06 08:45:00,,,,
2025-05-06 09:10:14,37.15,2025-05-06 09:15:00,,,,
2025-05-06 09:25:14,35.57,2025-05-06 09:30:00,,,,
2025-05-06 09:40:15,35.58,2025-05-06 09:45:00,,,,
2025-05-06 10:10:15,36.26,2025-05-06 10:15:00,,,,
2025-05-06 10:25:14,35.86,2025-05-06 10:30:00,,,,
2025-05-06 10:40:14,35.36,2025-05-06 10:45:00,,,,
2025-05-06 11:10:14,35.97,2025-05-06 11:15:00,,,,
2025-05-06 11:25:14,36.0,2025-05-06 11:30:00,,,,
2025-05-06 11:40:14,36.25,2025-05-06 11:45:00,,,,
2025-05-06 12:10:15,37.36,2025-05-06 12:15:00,,,,
2025-05-06 12:25:15,36.32,2025-05-06 12:30:00,,,,
2025-05-06 12:40:14,36.96,2025-05-06 12:45:00,,,,
2025-05-06 13:10:16,36.78,2025-05-06 13:15:00,,,,
2025-05-06 13:25:15,45.34,2025-05-06 13:30:00,,,,
2025-05-06 13:40:14,36.52,2025-05-06 13:45:00,,,,
2025-05-06 14:10:14,37.13,2025-05-06 14:15:00,,,,
2025-05-06 14:25:14,36.84,2025-05-06 14:30:00,,,,
2025-05-06 14:40:15,36.28,2025-05-06 14:45:00,,,,
2025-05-06 15:10:15,36.53,2025-05-06 15:15:00,,,,
2025-05-06 15:25:14,36.26,2025-05-06 15:30:00,,,,
2025-05-06 15:40:14,35.96,2025-05-06 15:45:00,,,,
2025-05-06 16:10:14,35.55,2025-05-06 16:15:00,,,,
2025-05-06 16:25:14,34.02,2025-05-06 16:30:00,2025-05-06 16:35:08,0.01,in,A
2025-05-06 16:25:14,34.02,2025-05-06 16:30:00,2025-05-06 16:35:06,0.01,in,A
2025-05-06 16:40:14,34.91,2025-05-06 16:45:00,,,,
2025-05-06 17:10:15,35.3,2025-05-06 17:15:00,,,,
2025-05-06 17:25:15,34.14,2025-05-06 17:30:00,,,,
2025-05-06 17:40:14,35.07,2025-05-06 17:45:00,,,,
2025-05-07 07:10:18,35.26,2025-05-07 07:15:00,,,,
2025-05-07 07:25:18,34.16,2025-05-07 07:30:00,,,,
2025-05-07 07:40:18,35.52,2025-05-07 07:45:00,,,,
2025-05-07 08:10:18,35.68,2025-05-07 08:15:00,2025-05-07 08:15:06,0.01,in,A
2025-05-07 08:25:18,36.85,2025-05-07 08:30:00,,,,
2025-05-07 08:40:17,34.45,2025-05-07 08:45:00,,,,
2025-05-07 09:10:19,35.83,2025-05-07 09:15:00,,,,
2025-05-07 09:25:18,35.74,2025-05-07 09:30:00,,,,
2025-05-07 09:40:17,35.8,2025-05-07 09:45:00,,,,
2025-05-07 10:10:17,33.23,2025-05-07 10:15:00,,,,
2025-05-07 10:25:17,36.52,2025-05-07 10:30:00,,,,
2025-05-07 10:40:17,35.65,2025-05-07 10:45:00,,,,
2025-05-07 11:10:17,36.23,2025-05-07 11:15:00,,,,
2025-05-07 11:25:17,37.58,2025-05-07 11:30:00,,,,
2025-05-07 11:40:17,36.48,2025-05-07 11:45:00,,,,
2025-05-07 12:10:18,37.58,2025-05-07 12:15:00,,,,
2025-05-07 12:25:18,36.69,2025-05-07 12:30:00,,,,
2025-05-07 12:40:18,39.32,2025-05-07 12:45:00,,,,
2025-05-07 13:10:18,38.13,2025-05-07 13:15:00,,,,
2025-05-07 13:25:18,35.23,2025-05-07 13:30:00,,,,
2025-05-07 13:40:18,38.04,2025-05-07 13:45:00,,,,
2025-05-07 14:10:19,38.24,2025-05-07 14:15:00,,,,
2025-05-07 14:25:19,38.21,2025-05-07 14:30:00,,,,
2025-05-07 14:40:19,37.04,2025-05-07 14:45:00,,,,
2025-05-07 15:10:19,36.59,2025-05-07 15:15:00,,,,
2025-05-07 15:25:19,35.98,2025-05-07 15:30:00,,,,
2025-05-07 15:40:19,40.24,2025-05-07 15:45:00,,,,
2025-05-07 16:10:19,38.53,2025-05-07 16:15:00,,,,
2025-05-07 16:25:19,36.8,2025-05-07 16:30:00,,,,
2025-05-07 16:40:19,38.21,2025-05-07 16:45:00,,,,
2025-05-07 17:10:21,36.68,2025-05-07 17:15:00,,,,
2025-05-07 17:25:19,35.71,2025-05-07 17:30:00,,,,
2025-05-07 17:40:20,39.45,2025-05-07 17:45:00,,,,
2025-05-08 07:10:23,39.95,2025-05-08 07:15:00,,,,
2025-05-08 07:25:23,38.61,2025-05-08 07:30:00,,,,
2025-05-08 07:40:23,39.0,2025-05-08 07:45:00,,,,
2025-05-08 08:10:22,37.36,2025-05-08 08:15:00,,,,
2025-05-08 08:25:22,38.84,2025-05-08 08:30:00,,,,
2025-05-08 08:40:22,38.78,2025-05-08 08:45:00,,,,
2025-05-08 09:10:22,39.86,2025-05-08 09:15:00,,,,
2025-05-08 09:25:24,37.08,2025-05-08 09:30:00,,,,
2025-05-08 09:40:22,38.93,2025-05-08 09:45:00,,,,
2025-05-08 10:10:22,38.67,2025-05-08 10:15:00,,,,
2025-05-08 10:25:22,38.32,2025-05-08 10:30:00,,,,
2025-05-08 10:40:23,35.31,2025-05-08 10:45:00,,,,
2025-05-08 11:10:23,37.42,2025-05-08 11:15:00,,,,
2025-05-08 11:25:23,38.0,2025-05-08 11:30:00,,,,
2025-05-08 11:40:23,36.84,2025-05-08 11:45:00,,,,
2025-05-08 12:10:23,38.29,2025-05-08 12:15:00,,,,
2025-05-08 12:25:23,38.34,2025-05-08 12:30:00,,,,
2025-05-08 12:40:23,36.32,2025-05-08 12:45:00,,,,
2025-05-08 13:10:24,38.08,2025-05-08 13:15:00,,,,
2025-05-08 13:25:24,37.61,2025-05-08 13:30:00,,,,
2025-05-08 13:40:24,37.32,2025-05-08 13:45:00,,,,
2025-05-08 14:10:23,36.21,2025-05-08 14:15:00,,,,
2025-05-08 14:25:23,36.3,2025-05-08 14:30:00,,,,
2025-05-08 14:36:57,36.3,2025-05-08 14:30:00,,,,
2025-05-08 14:40:24,37.56,2025-05-08 14:45:00,,,,
2025-05-08 15:10:24,38.67,2025-05-08 15:15:00,,,,
2025-05-08 15:13:14,38.67,2025-05-08 15:15:00,,,,
2025-05-08 15:25:24,36.68,2025-05-08 15:30:00,,,,
2025-05-08 15:40:25,36.32,2025-05-08 15:45:00,,,,
